ine_code;municipality;province;ccaa;year;deceased;injured_hospitalized;injured_not_hospitalized
02038;"Herrera; La";Albacete;Castilla-La Mancha;2023;0;0;0
02039;Higueruela;Albacete;Castilla-La Mancha;2023;0;0;0
02040;Hoya-Gonzalo;Albacete;Castilla-La Mancha;2023;0;0;0
02041;Jorquera;Albacete;Castilla-La Mancha;2023;0;0;0
02042;Letur;Albacete;Castilla-La Mancha;2023;0;0;0
02043;Lezuza;Albacete;Castilla-La Mancha;2023;0;0;1
02044;Liétor;Albacete;Castilla-La Mancha;2023;0;1;0
02045;Madrigueras;Albacete;Castilla-La Mancha;2023;0;0;2
02046;Mahora;Albacete;Castilla-La Mancha;2023;0;0;1
02047;Masegoso;Albacete;Castilla-La Mancha;2023;;;
02048;Minaya;Albacete;Castilla-La Mancha;2023;0;0;0
02049;Molinicos;Albacete;Castilla-La Mancha;2023;0;0;0
02050;Montalvos;Albacete;Castilla-La Mancha;2023;0;0;0
02051;Montealegre del Castillo;Albacete;Castilla-La Mancha;2023;0;0;0
02052;Motilleja;Albacete;Castilla-La Mancha;2023;0;0;0
02053;Munera;Albacete;Castilla-La Mancha;2023;0;0;0
02054;Navas de Jorquera;Albacete;Castilla-La Mancha;2023;0;0;0
02055;Nerpio;Albacete;Castilla-La Mancha;2023;0;0;0
02056;Ontur;Albacete;Castilla-La Mancha;2023;0;0;0
02057;Ossa de Montiel;Albacete;Castilla-La Mancha;2023;0;0;0
02058;Paterna del Madera;Albacete;Castilla-La Mancha;2023;0;0;0
02059;Peñascosa;Albacete;Castilla-La Mancha;2023;0;0;0
02060;Peñas de San Pedro;Albacete;Castilla-La Mancha;2023;0;0;1
02061;Pétrola;Albacete;Castilla-La Mancha;2023;0;0;0
02062;Povedilla;Albacete;Castilla-La Mancha;2023;0;1;0
02063;Pozohondo;Albacete;Castilla-La Mancha;2023;0;0;0
02064;Pozo-Lorente;Albacete;Castilla-La Mancha;2023;;;
02065;Pozuelo;Albacete;Castilla-La Mancha;2023;0;0;1
02066;"Recueja; La";Albacete;Castilla-La Mancha;2023;0;0;0
02067;Riópar;Albacete;Castilla-La Mancha;2023;0;0;0
