ine_code;province;autonomous_community;year;total_sanctions_with_points;total_points_deducted;speeding_two_points;speeding_three_points;speeding_four_points;speeding_six_points;alcohol_four_points;alcohol_six_points;drugs_six_points;helmet_seatbelt_child_restraint_system_three_points;helmet_seatbelt_child_restraint_system_four_points;helmet_seatbelt_child_restraint_system_six_points;mobile_phone_three_points;mobile_phone_four_points ;mobile_phone_six_points ;traffic_light_three_points;traffic_light_four_points;traffic_light_six_points;other_three_points;other_four_points;other_six_points
01061;Araba/Álava;País Vasco;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01062;Araba/Álava;País Vasco;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01063;Araba/Álava;País Vasco;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01901;Araba/Álava;País Vasco;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01902;Araba/Álava;País Vasco;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02000;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02001;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02002;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02003;Albacete;Castilla-La Mancha;2022;2.171;6.385;2.546;0;892;324;248;402;0;306;720;0;0;0;0;0;68;0;231;96;552
02004;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02005;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02006;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02007;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02008;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02009;Albacete;Castilla-La Mancha;2022;114;404;66;0;16;0;28;18;30;48;124;0;0;0;0;0;0;0;12;8;54
02010;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02011;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02012;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02013;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02014;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02015;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02016;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02017;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02018;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02019;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02020;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02021;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02022;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02023;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02024;Albacete;Castilla-La Mancha;2022;27;127;4;0;4;0;4;0;12;0;8;0;15;0;66;0;0;0;0;8;6
02025;Albacete;Castilla-La Mancha;2022;49;194;0;0;0;0;0;0;0;30;124;0;0;0;0;0;0;0;0;16;24
